no,keyword,keyword_ko,runtime,like,title,title_ko,channel,date
30,耽罗文化节,탐라문화제,0:41,474,【赖罗傅 同宗同源 一家亲】9月25日上午，赖氏总会赖华专职执行会长应邀参加“第十一届中原根亲文化节罗山县活动开幕式暨罗姓委员会成立大会”#赖 #赖氏家族 #根亲文化节 #罗氏家族 #罗,"같은 씨족, 같은 기원, 친척, 라이 루오 푸] 9 월 25 일 오전, 라이 가족 협회 상근 집행 위원장 인 라이 화는 ""제 11 회 중부 평원 뿌리 문화 축제 뤄산 현, 뤄 성위원회 창립 회의 활동 개막식""에 초대되었습니다 # 라이 # 라이 가족 # 뿌리 문화 축제 # 라이 가족 # 로",@赖氏之家,2023-09-26
31,耽罗文化节,탐라문화제,0:43,485,#演出现场视频 #文化文化节 哦罗,#쇼 라이브 비디오 #컬처 페스티벌 오흘로,@哦罗:Rap 梦,2024-08-16
32,耽罗文化节,탐라문화제,1:27,56,耽古峝主满堂官将出军2024.1.1海南定安黄竹镇仙嶺峝主神坛落成-庆典活动 #海南军坡节 #民俗文化 #乩童 #耽古峝主 #海南风俗公上身,2024.1.1 하이난 딩안 황주진 셴링 무대 신들의 제단 제막식 - 축하 #하이난 준포 축제 #민속문화 #매체 #텅쿠 무대 신들의 제단 #하이난 세관공우회 우월성,@椰壳椰壳,2024-01-16
33,耽罗文化节,탐라문화제,0:33,9,快乐就是这么简单，家人团聚一起疯#演出现场嗨翻全场 #篝火晚会嗨起来 #少数民族文化 #贵州美好推荐官 #鼓藏节,"행복은 이렇게 소박하다, 가족상봉 미쳐라 #공연장 전체가 뒤집어지는 #봉화파티 #소수문화 #귀주 아름다운 추천 공식 #드럼 티베트 축제",@汤·CHunCR7罗,2024-11-20
34,耽罗文化节,탐라문화제,1:25,2,欢迎全国豫章罗家人回#广西 #北海市#曲章 参加19号、20号的罗氏重修祠堂入火仪式。,"19일과 20일에 #광시 #베이하이 #취장을 다시 찾은 전국 유장 루오 가족을 환영하며, 루오 문중 재건 화재 입장식에 참석하세요.",@罗 帆,2024-11-20
35,耽罗文化节,탐라문화제,0:51,3,奥鲁罗狂欢节：一场文化盛宴的震撼之旅 奥鲁罗狂欢节，作为玻利维亚的文化瑰宝，以其独特的魅力吸引着世界各地的游客。本文将带你领略这场狂欢的奇妙之处，感受其背后的深厚文化底蕴。#世界非物质文化遗产 #非遗文化 #传统文化 #奥鲁罗狂欢节,오루로 카니발: 오감을 만족시키는 문화 축제 볼리비아의 문화 보물인 오루로 카니발은 독특한 매력으로 전 세계 여행객을 매료시킵니다. 이 기사에서는 이 카니발의 경이로움과 그 이면에 숨겨진 깊은 문화 유산을 느껴보세요. #세계무형문화유산 #무형문화 #전통문화 #오루로 카니발,@WICHIC世界非遗传承人大会,2024-11-15
36,耽罗文化节,탐라문화제,4:16,1774,【罗城仫佬族自治县2023第五届仫佬族依饭文化旅游节】#罗城仫佬族自治县 #河池 #广西 #依饭节 #民族特色民族文化,2023년 제5회 물라오족 자치현 이쌀 문화 관광 축제] #루청 물라오족 자치현 #허치 #광시 #이쌀축제 #민족 특색과 민족 문화,@罗小贤,2023-11-10
37,耽罗文化节,탐라문화제,1:13,9,#大学生配音艺术节#中国柯桥#鉴湖嘉年华#神秘嘉宾 大配节神秘嘉宾大揭幕——童自荣，我国著名配音表演艺术家，以“佐罗”这个角色名扬天下，优雅、华丽、颇具贵族气质的声线演绎出了几代人记忆中欧洲侠士的风度。他同时还是《少林寺》中的觉远，《蒲田进行曲》中的银四郎，《茜茜公主》中的勃克少校，《玩具总动员》中的胡迪，《大圣归来》中的混沌……他将自己一生的激情都奉献给了新中国的配音事业，陪伴几代观众和听众走过了难忘的译制片黄金岁月。,"학생 더빙 페스티벌의 미스터리 게스트 #커차오 #지안후 카니발 #더빙 페스티벌의 미스터리 게스트 공개 - 우아하고 화려한 귀족적인 목소리로 유명한 중국의 유명 더빙 아티스트 통쯔롱이 '조로' 역을 맡았어요! 그의 우아하고 화려하며 귀족적인 목소리는 여러 세대의 기억 속에 유럽 전사의 우아함을 묘사했습니다. 소림사의 주원, 가마타 행진의 인시랑, 시시공주의 버크 소령, 토이 스토리의 우디, 위대한 현자의 귀환의 카오스 등. ...... 그는 신중국 더빙 사업에 평생의 열정을 바쳐왔으며 번역 영화 산업의 잊을 수 없는 황금기를 여러 세대의 시청자와 청취자들과 함께 해왔습니다. 그는 번역 영화 제작의 잊을 수 없는 황금기를 여러 세대의 관객과 청취자들과 함께했습니다.",@大配节,2024-11-19
38,耽罗文化节,탐라문화제,1:02,401,县委书记康健为天宝罗酒开坛！天宝首届罗酒文化节在天宝古城开幕,강지안 현 당서기가 톈바오 뤄주를 개봉했습니다! 톈바오의 첫 뤄와인 문화 축제가 톈바오 고대 도시에서 열립니다.,@宜丰发布,2023-01-16
39,耽罗文化节,탐라문화제,0:54,640,【仫佬妹带您看县庆】#罗城 #县庆 #仫佬族 #仫佬妹 #民族特色民族文化,카운티 축하를 보여주는 물라오 소녀] #뤄청 #카운티 축하 #물라오 #물라오 소녀 #민족 특색과 문화,@罗小贤,2024-11-20
40,耽罗文化节,탐라문화제,3:14,66,山围硃砂罗氏宗词周年庆典大型活动,샨웨이에서 열린 시나바뤄 뤄 씨족의 말씀 기념식,@欢乐舞蹈培训中心,2023-11-28
41,耽罗文化节,탐라문화제,4:49,6,"#演出现场视频 #话剧 #张闻天 #声闻于天 “鹤鸣于九皋，声闻于天""一一原创话剧《声闻于天》入选第二十三届中国上海国际艺术节“扶持青年艺术家计划”。该剧以三次与母亲的告别为情感线索，用诗意的思维和写意笔法重现张闻天，一位百年前的热血青年从彷徨到觉醒的成长历程，探寻两代青年人的思想共振。","#공연영상 #연극 #장웬톈 #천상의 소리 ""구곡에서 학이 울고, 하늘에서 소리가 들린다."" 제23회 중국 상하이 국제예술제의 '젊은 예술가 지원 프로그램'에 오리지널 드라마 '천상의 소리'가 선정되었습니다. 이 연극은 어머니와의 세 번의 이별을 감정의 실타래로 삼아 한 세기 전 열정적인 청년 장원톈의 불확실성에서 각성까지의 성장을 시적 사고와 서술적인 문체로 재현하고 두 세대 젊은이들의 생각의 울림을 탐구합니다.",@生命顾问任杰克,2024-11-20
42,耽罗文化节,탐라문화제,11:04,32,618宁波天一广场漫展 #漫展 #路人视角 #漫展现场 #宁波 #自制,618 닝보 톈이광장 코믹콘 #코믹콘 #통행자뷰 #코믹콘장소 #닝보 #수제화,@丿Mode丶司令,2022-06-19
43,耽罗文化节,탐라문화제,0:16,591,荔浦芋文化节的烟花太美了🥳#荔浦芋文化节,리푸 타로 문화 축제의 불꽃놀이는 정말 아름답습니다 🥳 #리푸타로문화축제,@罗老师的朋友圈,2023-12-18
44,耽罗文化节,탐라문화제,2:34,64,#民俗文化 #年例 #非物质文化遗产 #非物质文化 #茂名 @茂名电白区七径文马仔村广罗庙@ 中殿: 康皇大帝，罗大人，车元帅，麦元帅 左殿: 文马仔境主夫妇,"#민속 #새해 #무형문화유산 #무형문화 #마오밍 @MaomingDianbaiWenMaZaiVillageGuangLuoMiao@ 중앙 홀: 강황 황제, 루오 경, 체 원수, 마이 원수 왼쪽 홀: 원마자이 부부와 부부",@江都御史 （茂名地区文化记录),2024-08-14
45,耽罗文化节,탐라문화제,1:14,126,2023中国丝绸博物馆汉服节活动马上开始啦！（这次苏罗不仅有摊位，朱伯伯也有受邀去讲讲花罗小知识，嘿嘿来玩哦 #国丝汉服节 #花罗 #抖in传统文化 #丝绸文化 #汉服,2023 중국 비단 박물관 한복 축제 활동이 곧 시작됩니다! (이번 수로에서는 부스뿐만 아니라 주 아저씨를 초대해 꽃뤄 상식을 알려드릴 예정이니 오셔서 놀러 오세요 #중국실크한복축제 #꽃뤄 #전통문화 #실크문화 #한복,@朱伯伯的苏罗,2023-04-21
46,耽罗文化节,탐라문화제,0:41,21,第二届中元节(篮协杯)篮球赛今天晚上在阳明文化公园举行，罗总带领的囍上媒捎队和苏总带领的金山队大战四节，精彩绝伦！#活动现场 #现场直击 #比赛现场 #篮球赛#重在参与,오늘 저녁 양밍 문화 공원에서 제2회 중원 페스티벌(농구협회컵) 농구 대회가 열렸습니다. 뤄 씨가 이끄는 시상 미디어 파이킹 팀과 수 씨가 이끄는 진산 팀이 멋진 경기를 펼치며 4쿼터까지 싸웠어요! 활동 #활동 #라이브 #경기 #농구 #참여,@平果红爷,2024-08-09
47,耽罗文化节,탐라문화제,0:15,335,盈江县融媒体中心主播邀您一起蹬窝罗#网络中国节 #阿昌族 #民族特色民族文化 #盈江,잉장현 퓨전 미디어 센터 앵커가 우뤄오 #인터넷차이나페스티벌 #아창 #민족 #민족문화 #잉장현으로 여러분을 초대합니다.,@盈江融媒,2023-04-20
48,耽罗文化节,탐라문화제,0:10,4,您好，欢迎您认准得罗人非遗旅拍簪花品牌，体验非遗文化，让自己变得更美，我们福建哪里人传媒有限公司成立于2015年，簪花在泉州区域打卡景点：蟳埔村、中山路、西街、五店市、梧林、红塔湾、洛伽寺、小西埕、花巷街、黄金海岸、鼓浪屿、湄洲岛近20家门店！期待您的光临！ 一日簪花｜一世无忧 今生簪花｜世世漂亮 得罗人非遗旅拍簪花让你变得更美！！！#泉州簪花 #愿所求皆所愿 #国风古韵 #非遗 #遇见更美的自己,"안녕하세요, 델루오 사람들의 비 유산 여행 사진의 머리핀 꽃 브랜드를 인식하고 비 유산 문화를 경험하고 자신을 더 아름답게 만드는 것을 환영합니다, 우리 푸젠 어디 사람들 미디어 유한 회사는 2015 년에 설립되었으며, 천주 지역의 머리핀 꽃은 게 나무 마을, 중산 도로, 서쪽 거리, 우전시, 우린, 홍타 완, 루가 사원, 샤오시 청, 꽃 골목 거리, 금 해안, 구랑위 섬, 메이 주 섬 거의 20 개의 상점을 히트했습니다! 여러분의 방문을 기다리고 있습니다! 원데이 헤어핀｜일생일대 걱정없는 인생 헤어핀｜세상을 예쁘게 델로리안 비유산 여행 사진 헤어핀이 당신을 아름답게 만들 것입니다!!!! #콴저우헤어핀 #소원성취 #중국스타일 #논헤리티지 #더아름다운나를만나다",@得罗人非遗旅拍簪花品牌,2024-11-20
49,耽罗文化节,탐라문화제,0,142,甲辰年农历八月初十 福州鳌峰洲 白马王非遗文化节暨中军罗总管爷千秋华诞#民俗文化 #游神 #文化 #福建游神 #白马王,아천년 음력 8월 10일 초하루 푸저우 아오펑저우 백마왕 비유산 문화축제 & 중군장 뤄선생 천주년 기념일 #민속 #요선 #문화 #푸젠 요선 #백마왕,@高详里人,2024-09-12
50,耽罗文化节,탐라문화제,0:29,533,文香罗店，醉美花神节 #现场实拍 #每一个精彩瞬间都值得记录 #弘扬和传承民俗文化,"원샹루오뎬, 취한 꽃신 축제 #라이브샷 #모든 순간은 기록할 가치가 있다 #민속 문화 홍보 및 전승",@发财是只喵,2023-04-07
51,耽罗文化节,탐라문화제,0:29,53,今晚8点10分，和莫言阿来马伯庸一同见证中国文学盛典 · 骏马奖之夜！（来源丨广西综艺旅游频道）#中国文学盛典 #骏马奖之夜 #民族文学璀璨绽放文学桂军与骏马奖 #广西作家协会,"오늘 밤 8시 10분에 모옌, 아라이, 마보용과 함께하는 중국 문학 시상식-준마상의 밤을 만나보세요! (출처 丨광시 버라이어티 여행 채널)#중국문학식 #준마상의 밤 #민족문학 꽃피우는 문학 귀준과 준마상 #광시 작가 협회",@当代广西,2024-11-17
52,耽罗文化节,탐라문화제,2:33,98,洛扎县库拉岗日文化节、藏吧哦罗《宁杰瓦啦》#好听的藏语歌 #演出现场视频,"로체 카운티의 쿨라강리 문화 축제, 티베트 바 오를로 ""나인저왈라"" #위대한티베트인 #라이브공연영상",@蕃音文旅,2024-08-13
53,耽罗文化节,탐라문화제,1:34,3,你没见过的端午特色民俗表演 #闽南语 #泉州 #晋江 #端午 #民俗文化 #视觉盛宴 #特色文化 #搞笑,용선 축제 특별 민속 공연 #민난 #취안저우 #진장 #두안우 #민속문화 #시각적 향연 #특색있는문화 #재미있음,@逍遥居客,2022-04-06
54,耽罗文化节,탐라문화제,1:42,32,广西壮族自治区桂平罗播乡三月三文化节一年一度，,광시좡족자치구 구이핑시 뤄방진에서 매년 3월 3일 열리는 문화 축제.,@小李子,2021-04-13
55,耽罗文化节,탐라문화제,0:41,5,相约罗家渡 国庆欢乐行！2024•罗江乡第二届农民文化艺术展演活动预告#农民艺术节 #于都 #美食 #国庆吃喝玩乐节,"뤄지아두 국경일 재미를 만나보세요! 2024-뤄장향 제2회 농민 문화 예술 쇼 미리보기 #농민 예술 축제 #유두 #음식 #국경일 먹고, 마시고, 즐거운 축제",@于都县融媒体中心,2024-09-26
56,耽罗文化节,탐라문화제,1:42,494,2024洛扎县库拉岗日文化旅游节精彩瞬间 @哦罗 ：我年轻我说唱 #直通文化节,2024년 로자 카운티 쿨라강리 문화관광축제 하이라이트 @Ohlo : 나는 젊고 나는 랩을 한다 #StraightThroughCultureFestival,@洛扎县融媒体中心,2024-08-02
57,耽罗文化节,탐라문화제,0:25,11,俄罗期食品文化节,러시아 음식 및 문화 축제,@慧,2024-11-18
58,耽罗文化节,탐라문화제,0:42,137,我在#桂林艺术节# FM950大滔带你解锁2022桂林艺术节✨克那凯？看戏克！@桂林艺术节 #城市记忆 #文化旅游,2022년 길림예술축제의 개막을 알리는 #길림예술축제 FM950 다토가 여러분을 안내합니다 ✨나카이? 극장을 보세요 ✨Knakai! 구이린예술제 #도시기억 #문화관광,@出发吧大大滔,2022-12-09
59,耽罗文化节,탐라문화제,0:09,5,治愈心灵的声音，11月29日来南京文化艺术中心大剧场，让罗曼耶卓带你感受钢琴音乐的魅力#南京 #钢琴独奏 #音乐会 #o叔 #罗曼耶卓,"영혼을 치유하는 소리, 11월 29일 난징문화예술센터 원형극장에서 로만예조가 선사하는 피아노 음악의 매력 #난징 #피아노솔로 #콘서트 #언클오 #로만예조",@美式男孩-美食篇,2024-11-19
60,耽罗文化节,탐라문화제,0,141,锣鼓喧天闹新春！大秧歌扭起来了！现代舞炫起来了！农家书屋读起来了！汀罗镇春节，元宵节期间群众文化丰富多彩！自娱自乐！展现自我，得胜鼓打出了满满的自信！广场舞舞出了幸福的生活！老扬琴奏出了传统文化的神韵！欢快歌声，优美旋律畅享了祖国赞歌！,"징과 북이 새해를 맞아 큰 소리를 내고 있습니다! 큰 모심기 노래가 비틀어지고 있습니다! 현대 무용이 현란합니다! 농민 서점에서는 책을 읽습니다! 팅루오향 봄 축제, 등불 축제 기간 동안 다채로운 대중 문화! 즐겁게 즐기세요! 자신감으로 가득 찬 승리의 북을 연주하는 자신을 보여주세요! 스퀘어 댄스는 행복한 삶을 가져다줍니다! 오래된 양친이 전통 문화의 매력을 연주합니다! 경쾌한 노래, 아름다운 선율로 조국의 찬가를 즐기세요!",@草根“快嘴叔”老盖拉呱儿（天缘文化传媒),2022-02-10
61,耽罗文化节,탐라문화제,0:14,371,近日，太仓举办首届海运堤罗腾堡风情街文化狂欢节。现场，集中呈现近百场精彩表演，包括舞台艺术表演、街头艺人展演、德国传统文化互动体验等。,"최근 타이창은 해상 운송 제방 로텐부르크 스타일의 거리에서 첫 번째 문화 카니발을 개최했습니다. 현장에서는 무대 예술 공연, 거리 예술가들의 전시회, 독일 전통 문화 체험 등 100개에 가까운 흥미로운 공연이 펼쳐졌습니다.",@小鱼视频,2023-03-30
62,耽罗文化节,탐라문화제,1:24,33,2024东布洲国际艺术节即将开幕！精彩剧目抢先看！ #东布洲国际艺术节 #南通吃喝玩乐 #海门区 #戏剧奇旅 #人文艺术,2024 둥부저우 국제 예술제가 곧 개막합니다! 흥미진진한 공연장을 미리 만나보세요! #동부저우국제예술제 #난퉁먹고마시는연극 #하이먼구 #극장원더랜드 #인문학과 예술,@张zhang,2024-07-30
63,耽罗文化节,탐라문화제,3:30,568,#民族特色民族文化 #珠峰文化节 #拉孜堆谐,#민족 #민족 문화 #에베레스트 문화 축제 #라지 마운드 하모니,@@…哦罗 🍃,2023-06-24
64,耽罗文化节,탐라문화제,2:10,346,牟定首届左脚舞文化节，杨学进老师献唱左脚舞的故乡#中国牟定三月会左脚舞 #民族音乐 #少数民族风情,"무딩 제1회 왼발춤 문화제, 양쉐진 씨가 왼발춤의 고향을 노래하다 #중국 무딩 행진, 왼발춤을 만나다 #민속음악 #소수민족 스타일",@牟视传媒,2024-04-26
65,耽罗文化节,탐라문화제,1:17,800,欢乐大林卡第七季 拍摄花絮🎬#民族特色民族文化 #南江秋措 #巴金旺甲 #扎根措 #哦罗我年轻我说唱,조이 달링카 시즌 7 촬영 하이라이트 🎬 #민족특색민족문화 #난장투쪼 #바진왕자 #자간쪼 #오늘도 나는 랩을 한다.,@娘曲文艺文化传媒,2024-07-08
