keywords,comments,years,trans_comments
韓国旅行,他の国も同じだけど海外でクレジットカード使うには覚悟してから使うことだな クレジットカードの海外払いは単純に円をもってウオンを支払うシステムではなく円からドルドルからウオンに変えながら支払われるので円を日本の銀行で両替して持っていって現金使うより必ず高くなる あとミョンドンでの両替はおすすめできない最近はわからんけど日本の銀行で変えた方が安かったまあ現地で両替が必要だったら一番良いのは銀行だけどわざわざ銀行行くのは面倒だから仕方ないかも知らんけどね,2024,"다른 나라도 마찬가지지만 해외에서 신용카드 사용하려면 각오하고 써야지 신용카드 해외결제는 단순히 엔화를 가지고 원화를 지불하는 시스템이 아니라 엔화를 달러에서 달러에서 원화로 바꾸면서 지불하기 때문에 엔화를 일본 은행에서 환전해서 가져가서 현금으로 쓰는 것보다 반드시 비싸고, 또 명동에서 환전은 추천할 수 없다 요즘은 모르겠지만 일본 은행에서 바꾸는 게 더 저렴했다 뭐 현지에서 환전이 필요하다면 은행이 제일 좋겠지만 굳이 은행에 가는 게 귀찮아서 어쩔 수 없을지도 모르겠다."
韓国旅行,今は超絶に不景気だから５倍楽しむ前に５倍ボッタくられるで,2024,지금은 초절정 불황이라 5배 즐기기 전에 5배 사기를 당할 수 있다.
韓国旅行,ヒラッカルチ,2024,히라카르치
韓国旅行,なんで化粧品機内持ち込みダメなの,2024,화장품 기내 반입이 왜 안 되나요?
韓国旅行,和歌山県民,2024,와카야마현민
韓国旅行,動画よりコメ欄の方が参考になるやんけ,2024,동영상보다 댓글이 더 참고가 되는구나!
韓国旅行,昔は韓国も日本も英語話せなかったのに今は韓国人で若い人たち結構英語話せる人多いよね 俺は国際科だったから英語話せるけどだからこそ英語で会話する事が多くて韓国人は本当に英語話せる人が多かった 韓国で日本語話せる人が多いのは明洞やカンジャンシジャンとかそういう日本人観光客が多い場所でよくいるね,2024,"예전에는 한국도 일본도 영어를 못했는데 지금은 한국 젊은 사람들 중에 영어를 할 줄 아는 사람들이 꽤 많죠 저는 국제과라서 영어를 할 줄 아는데 그래서 영어로 대화할 일이 많아서 한국 사람들은 정말 영어를 할 줄 아는 사람들이 많았어요 한국에서 일본어를 할 줄 아는 사람들이 많은 곳은 명동이나 강변북로, 강변북로, 강변북로, 강변북로, 강변북로, 강변북로, 강변북로, 강변북로, 강변북로, 강변북로, 강변북로 관광객이 많은 곳에 많이 있네요."
韓国旅行,韓国行きたいけどお金がないので,2024,한국에 가고 싶은데 돈이 없어서
韓国旅行,カカオタクシー韓国の番号ないと使えなくね,2024,카카오택시 한국 번호가 없으면 사용할 수 없네요
韓国旅行,行きたいよ,2024,가고 싶다
韓国旅行,反日の国行ってホルホルする意味がわからない,2024,반일국가에 가서 호들갑을 떠는 것이 무슨 의미가 있는지 모르겠다.
韓国旅行,使わんだ 使うのか使わないのか どこの田舎の言葉だよ,2024,"썼어, 썼어, 안 썼어, 어느 시골말이냐?"
韓国旅行,オリーブヤングで働いてる韓国人です特に明洞の辺で働いてるんですけど日本の方結構こられたりします日本語行ける人うちの店は結構います日本語で話しかけてるのに日本の方は相手のことを配慮して英語で話そうとする傾向がありますその際には日本特有の英語発音が混ざってるので逆にコミュニケーションしづらいです日本の方でしたら繁華街に限って日本語行ける方結構いるから日本語で言ってほしいですね日本語できますかって聞いてみて全然行けますよって言ったら日本語のペースに合わせて日本語でも全然いけるんで日本語お願いしますあもちろん韓国語とか使える日本の方いらっしゃると韓国語でご対応します,2024,"올리브영에서 일하는 한국인입니다 특히 명동 근처에서 일하고 있는데 일본분들이 많이 오시곤 합니다 저희 가게는 일본어를 할 수 있는 분들도 꽤 있습니다 일본어로 말을 걸고 있는데 일본분들은 상대방을 배려해서 영어로 말하려고 하는 경향이 있습니다 그 때는 일본 특유의 영어 발음이 섞여있어서 의사소통이 힘들어요. 일본분들이라면 번화가에 한정해서 일본어를 할 수 있는 분들도 꽤 있기 때문에 일본어로 말해주셨으면 좋겠어요 일본어를 할 수 있냐고 물어봐서 전혀 할 수 있다고 하면 일본어 속도에 맞춰서 일본어로도 충분히 할 수 있기 때문에 일본어 부탁드려요 아, 물론 한국어라든지 한국어를 할 수 있는 일본인이 있으면 한국어로 대응해 드립니다."
韓国旅行,辛くない辛いじゃなくて 辛い辛くないやな笑 なんなら韓国人の辛いは辛くないって多分文章的に逆やな,2024,맵지 않은 매운맛이 아니라 맵지 않은 매운맛이네요 ㅋㅋ 한국인의 매운맛은 매운맛이 아니라면 아마 문장적으로 반대일 것 같네요.
韓国旅行,いかね,2024,이카네
韓国旅行,韓国海軍レーダー照射事件で新証言文在寅が隠蔽を指示,2024,한국 해군 레이더 조사 사건에 대한 새로운 증언 문재인이 은폐 지시
韓国旅行,韓国コスメは機内持ち込みできないのどうして,2024,한국 화장품은 왜 기내 반입이 안 되나요?
韓国旅行,3回韓国に行ったが全く良さが分からなかった 汚いし新大久保でいいやって思う,2024,한국에 세 번이나 갔지만 전혀 좋은 점을 모르겠고 더럽고 신오쿠보로 괜찮다고 생각한다.
韓国旅行,どうせ日本人は韓国のこと全然知らんやろ的な感じで作ってる,2024,어차피 일본인은 한국에 대해 전혀 모르는 것 같은 느낌으로 만들고 있다.
韓国旅行,行きません,2024,가지 않습니다
韓国旅行,韓国人です私は日本の友達もあって交流会のスタッフもやってたので皆の声で話します韓国は日本と違って _トイレがないですコンビニに行っても利用できません _田舎ではなければ夜でも賑やかです _どこ行っても現金無しでも困らない _食堂行くとおかずが無料 _食堂に車椅子とかベビーカ可能 以上です,2024,한국사람입니다 저는 일본인 친구도 있고 교류회 스태프도 했기 때문에 모두의 목소리로 이야기합니다 한국은 일본과 달리 _화장실이 없습니다 _편의점에 가도 이용할 수 없습니다 _시골이 아니면 밤에도 북적거립니다 _어디를 가도 현금이 없어도 곤란하지 않습니다 _식당에 가면 반찬이 무료입니다 _식당에 휠체어라든지 유모차 가능 이상입니다.
韓国旅行,日本人よりかは多少英語通じるけど結構訛りあるし観光地だと日本語の方が通じる気がする,2024,일본인보다는 영어가 어느 정도 통하지만 사투리가 심하고 관광지에서는 일본어가 더 잘 통하는 것 같다.
韓国旅行,オフシーズンの１月行った時クソ寒くてそ路肩の雪も一戸建てくらいの家波に雪かきされてたから関東人だった自分はマジで驚いた夜外出たら皮膚が凍り付いて感覚なくなるくらいの寒さだったな,2024,비수기인 1월에 갔을 때 너무 추워서 도로 갓길의 눈도 단독주택 정도의 집파에 눈을 치우고 있었기 때문에 관동사람인 나는 정말 놀랐고 밤에 외출하면 피부가 얼어서 감각이 없어질 정도의 추위였어.
韓国旅行,韓国旅行じゃなくてソウル旅行ならそうやろな,2024,한국 여행이 아니라 서울 여행이라면 그렇겠지?
韓国旅行,れいｐ大国上位なので女性は気をつけて,2024,레이프 강국 상위권이니 여성은 조심하세요!
韓国旅行,大丈夫です韓国なんか行かないんで,2024,"괜찮아요, 한국 따위는 안 갈 테니까요"
韓国旅行,１０年以上前に行ったけど二度と行こうとは思わない 英語なんて基本通じないよ 今となっては反日トコジラミで罰ゲームやん向こうの飯食うと腹壊すし,2024,"10년 전에 갔었는데 다시는 안 갈 것 같아요 영어는 기본적으로 통하지 않아요, 지금은 반일 빈대 때문에 벌을 받고, 저쪽에서 밥을 먹으면 배탈이 나고요."
韓国旅行,韓国旅行なんぞ行かんw,2024,한국 여행 따위는 안 가겠다 w
韓国旅行,店で一度会った人と再び会うと宗教勧誘からの教会に連れて行かれる場合があります おそらく店にいるときは就業時間なので仕事を優先して勧誘しないけどその後会うと知り合いということで話しかけられそのまま話の流れで勧誘されました 神社かお寺のキーホルダーをつけておくといいと思います付けておいてこちら側のほうが信仰心が高いことを見せつけておきましょう鳥居か寺が書かれていたらキャラのやつでも結構良いかも 教会に連れて行かれそうになった人,2024,"가게에서 한번 만났던 사람과 다시 만나면 종교권유에 의해 교회로 끌려가는 경우가 있습니다 아마 가게에 있을 때는 근무시간이기 때문에 일을 우선으로 권유하지 않지만, 그 후에 만나면 아는 사이라는 이유로 말을 걸고 그대로 이야기 흐름에 따라 권유하는 경우가 있습니다 신사나 절의 키홀더를 달아두면 좋을 것 같습니다. 도리이 또는 절이 적혀 있으면 캐릭터가 그려져 있는 것이라도 괜찮을 것 같습니다 교회에 끌려갈 뻔한 사람"
韓国旅行,⑥の情報インプットするまでここだけ20回くらい再生した,2024,의 정보 입력까지 여기까지만 20번 정도 재생했다.
韓国旅行,江南や梨泰院は英語も日本語もよく通じるから楽やったわ クラブでナンパしまくったわ,2024,강남이나 이태원은 영어와 일본어가 잘 통하는 곳이라서 편했어요. 클럽에서 호객행위를 많이 했어요.
韓国旅行,韓国旅行で10回以上タクシー使ったけど英語話せる人1人もおらんかったわ,2024,한국 여행에서 10번 이상 택시를 이용했는데 영어를 할 줄 아는 사람이 한 명도 없었어요.
韓国旅行,聞き取れない言葉があって調べたら和歌山三重の方言だった,2024,알아들을 수 없는 말이 있어서 찾아보니 와카야마 미에의 방언이었다.
韓国旅行,の観光は 気を 付けた 方が いい ですよ,2024,의 관광은 조심하는 것이 좋습니다.
韓国旅行,gw行く方へ 韓国ハーフでよく韓国に行く人です 今はソウルはどこもトイレ流せます追記コメ欄参照 釜山もほとんど流せますが古い建物だと流せないですちなみに海雲台のタワマンの下のトイレクソ綺麗でしたオススメ ソウルの方が圧倒的に日本語通じます メニュー表は日本語も書いてあります 箸とかは机の下の引き出しに入ってます 追加のおかずと水はセルフサービスのところ多いです ビヨットは日本人の争奪戦です繁忙期は夜にはもうありません 韓国語しか通じそうじゃなくても注文くらいは英語伝わります google翻訳見せつければなんにも困りません カードはwowpassか自身のクレカでいいです 空港でお土産買ったらクソ高いのでスーパーの方がいいです キムチとかは空港で買わないと持って帰れません 屋台行かないなら交通系のチャージ以外現金使わないし電車もタクシーも安いので両替は13万ウォンで大丈夫です 辛くないは辛いはガチです苦しみます 公共の場で鼻かむのはマナー違反で鼻かんだらめっちゃ睨まれます ホテルは日系であれば日本のコンセントと一緒なので変換プラグとか用意しなくて大丈夫です プラグよりusbを差すタイプが多いです ポケットwifiもいいですがwowpassの空港セットならesimもついてきて便利です wowpassみんなで一斉に登録せずに誰かひとりが先に登録してそれぞれに招待コード入力すればみんな買い物した際に還元が来てお得です 空港ソウルの空港列車は一般列車でも約1時間450円くらいで乗れるので直通ではなくこちらもおすすめです オリヤンはqoo10と値段見比べた方が得します 明洞のオリヤンに無料特典あるのでぜひ調べてゲットしてください期間限定かはわからないです オリヤンで買い忘れたものはアプリで日本からでも注文できるし新規会員登録でめっちゃお得です 基本みんなめっちゃ優しいので困ったら頼ってください 韓国人しぬほどせっかちなのでのんびり動かないでくださいパーマのおばさんに怒られるかスーツケースで足轢かれますだいたい動き遅いの日本人なのですぐ分かります 政治家宗教家は無視です 明洞梨泰院江南には変なおじさん多いですが絶対話聞かないでください私は突然結婚を申し込まれました,2024,GW 가시는 분들께 한국반쪽이고 한국에 자주 가는 사람입니다 지금은 서울은 어디든 화장실 물내릴 수 있습니다 추기 댓글란 참조 부산도 대부분 물내릴 수 있지만 오래된 건물이라 물내릴 수 없습니다 참고로 해운대 타워맨 아래 화장실은 정말 깨끗했습니다 추천합니다 서울이 압도적으로 일본어가 통합니다 메뉴표는 일본어도 적혀있고 젓가락이나 물은 셀프서비스인 곳이 많습니다. 젓가락 같은건 책상 밑 서랍에 들어있어요 추가 반찬과 물은 셀프서비스인 곳이 많아요 비욧은 일본인 쟁탈전입니다 성수기에는 밤에는 더 이상 없습니다 한국어만 통하지 않더라도 주문 정도는 영어가 통합니다 구글 번역기 보여주면 아무 문제 없습니다 카드는 와우패스나 자신의 크레딧카드로 와우패스나 자신의 신용카드로도 괜찮습니다 공항에서 기념품 사면 비싸서 슈퍼가 낫습니다 김치같은건 공항에서 사지 않으면 가져갈 수 없습니다 포장마차 안가면 교통비 외에는 현금 안쓰고 기차도 택시도 싸니까 환전은 13만원이면 괜찮습니다 매운맛은 안매운맛은 매운맛이 강합니다. 공공장소에서 코를 깨무는 것은 매너위반으로 코딱지 엄청 쳐다봅니다 호텔은 일본계라면 일본 콘센트와 같아서 변환플러그 같은거 준비 안해도 괜찮습니다 플러그보다 usb를 꽂는 타입이 많습니다 포켓 와이파이도 좋지만 와우패스의 공항세트라면 와우패스 모두 한꺼번에 등록하지 않고 누군가 한 명씩 먼저 등록하고 각각 초대코드를 입력하면 모두 쇼핑할 때 할인혜택을 받을 수 있어 편리합니다 공항서울의 공항열차는 일반열차도 약 1시간 450엔 정도면 탈 수 있으니 직통이 아닌 이쪽도 추천합니다! 오리양은 qoo10과 가격 비교하는 게 이득입니다 명동 오리양에 무료 혜택이 있으니 꼭 알아보고 구입하세요 기간한정인지 모르겠지만 오리양에서 사다 놓친 물건은 앱으로 일본에서도 주문할 수 있고 신규회원 가입으로 엄청 저렴합니다 기본적으로 다들 너무 친절해서 곤란한 일이 있을 때 의지할 수 있습니다 한국사람은 참을성 없는 성격이라 느긋하게 움직이지 마세요 파마 아줌마에게 화를 내거나 여행가방으로 발길질 당할 수 있습니다 대체로 움직임이 느린 일본인이라 금방 알 수 있습니다 정치인 종교인은 무시입니다 명동 이태원 강남에는 이상한 아저씨들이 많은데 절대 이야기 듣지 마세요 저는 갑자기 결혼을 결혼을 제안받았어요
韓国旅行,ベッドへのダイブの跳躍力,2024,침대에 뛰어드는 도약력
韓国旅行,wifiレンタルより期間指定できるsimがお勧め 荷物にもならないし充電も気にする必要もない ただ元入ってたsimを紛失したらまじで終わるからそれが欠点無くさなければいいだけだけど,2024,와이파이 렌탈보다 기간 지정이 가능한 유심 추천 짐도 안되고 충전도 신경 쓸 필요도 없고 그냥 원래 들어있던 유심 분실하면 진짜로 끝이니까 그게 단점이 아니면 좋겠지만...
韓国旅行,使用済みトイレットペーパーか流せないだけでアウト,2024,다 쓴 화장지나 흘려보내지 못하는 것만으로도 아웃!
韓国旅行,wifiルータは邪魔だからおすすめではない セットで格納するケースや充電に使うコードやバッテリも渡されることもあって荷物が増えて邪魔に 現地で並ぶことなくすぐ使えるesimが一番便利だし複数台端末があって自前のルータがあればフィジカルsimを買うのがいい,2024,"와이파이 공유기는 방해가 되니 추천하지 않음 세트에 들어있는 케이스와 충전용 코드, 배터리도 함께 제공되어 짐이 많아지고 방해가 됨. 현지에서 줄을 서지 않고 바로 사용할 수 있는 유심이 가장 편리하고, 여러 대의 단말기가 있고 자체 공유기가 있다면 실물 유심을 구입하는 것이 좋음."
韓国旅行,行きたい人がいるんだねービックリ,2024,가고 싶은 사람이 있구나~ 깜짝 놀랐어요!
韓国旅行,韓国に興味を持ち訪問してくださり 本当にありがとうございます 日本の方々が韓国旅行を来てくれて本当に嬉しいです,2024,한국에 관심을 갖고 방문해 주셔서 정말 감사합니다. 일본 분들이 한국 여행을 와주셔서 정말 기쁩니다.
韓国旅行,最近見出しました今度お初なのでこの動画でお勉強になりました,2024,최근에 알게 되었습니다 이번이 처음이라서 이 동영상으로 공부하게 되었습니다.
韓国旅行,この時代にポケットwifiと思ってしまったw あと韓国は日本と同じぐらい英語通じないっす海外留学も日本と同じぐらい盛んだから若い人だとたまたま喋れる人にあたることもあるが,2024,이 시대에 포켓 와이파이라고 생각했다 w 그리고 한국은 일본만큼 영어가 통하지 않는데 해외유학도 일본만큼 활발해서 젊은 사람이라면 우연히 말을 할 수 있는 사람에 해당할 수도 있지만
韓国旅行,英語も日本語伝わらないとこ割とありましたよ,2024,영어도 일본어가 잘 안 통하는 부분이 꽤 있었어요!
韓国旅行,地下鉄に乗る時のカードにお金を入れる時はクレジットカードが使えません,2024,지하철을 탈 때 카드에 돈을 넣을 때 신용카드를 사용할 수 없습니다.
韓国旅行,両替はどこでするべきですか仁川空港から電車でソウルまで移動したいのですが電車のチケットを買うためには両替してないといけないですよね,2024,환전은 어디서 해야 하나요 인천공항에서 기차를 타고 서울까지 이동하고 싶은데 기차표를 사려면 환전을 해야 하나요?
韓国旅行,辛くない辛い部分で爆笑したwww,2024,맵지 않은 매운 부분에서 폭소했다www
韓国旅行,あと4日韓国楽しみ,2024,앞으로 4일 남은 한국 기대
韓国旅行,英語は通じなかったですねー他の国の方が通じました,2024,영어는 통하지 않았어요 - 다른 나라 사람들은 통했습니다.
韓国旅行,より若い人に質問してください30代以内は英語だいたいできます最近は日本語もちょっとできる人あります因みに韓国で辛い味は死ぬほど辛いって意味,2024,더 젊은 사람에게 물어보세요 30대 이내는 영어는 대충 할 수 있고 요즘은 일본어도 조금 할 수 있는 사람이 있습니다 참고로 한국에서 매운맛은 죽을 만큼 맵다는 뜻입니다.
韓国旅行,えコスメと化粧品持って帰れないん,2024,어 화장품과 화장품을 가져갈 수 없어요
韓国旅行,辛くないの,2024,맵지 않아요
韓国旅行,うーん空港セットっていうesim 交通パスあらかじめ1000円あって探す手間なしwpass が一体のカードarex10日本でも買えるサイトある割引のパックがあるちなみにarexではただで水がもらえるとにかく現地で探すの意外と時間かかるからまとめたり事前予約大事よ あと地図アプリ日本語でやっても出てこないので目的地添付するために韓国語メモしておいたほうがよいよ,2024,음 공항세트라는 esim 교통패스 미리 1000엔짜리 미리 사서 찾는 번거로움 없이 wpass가 일체형 카드인 arex10 일본에서도 살 수 있는 사이트가 있고 할인팩이 있어요 참고로 arex에서는 물을 공짜로 받을 수 있어요 어쨌든 현지에서 찾는데 의외로 시간이 오래 걸리니까 정리하고 사전 예약하는게 중요해요! 그리고 지도 앱은 일본어로 해도 나오지 않으니 목적지 첨부하기 위해 한국어로 메모해 두는 것이 좋다.
韓国旅行,2年住んでるけど辛くないはマジで辛い英語日本語は観光地だけだね,2024,2년째 살고 있는데 맵지 않은 것은 정말 맵다 영어 일본어는 관광지에서만 통한다.
韓国旅行,2度と行かないです一回行けば充分観光する場所がないし韓国料理は日本で食べた方が美味しい,2023,한 번 가면 두 번은 가지 않아요 한 번 가면 충분히 관광할 곳도 없고 한국 음식은 일본에서 먹는 게 더 맛있어요.
韓国旅行,ツッコミのコメント多すぎてむしろおすすめに上がってるの草,2023,댓글이 너무 많아서 오히려 추천에 올라오는 게 웃기다.
韓国旅行,行くことはまずない,2023,갈 일이 거의 없다
韓国旅行,0を何倍しても0でしょ,2023,0을 몇 배로 늘려도 0이겠죠?
韓国旅行,明洞行ったら5000円じゃ10秒で使い終わるぞ,2023,명동에 가면 5000원이면 10초면 다 써버린다!
韓国旅行,esimがオススメですよ,2023,esim을 추천합니다!
韓国旅行,ソウル近辺で抜いてもらえるお店とかありますか,2023,서울 근교에서 뽑을 수 있는 가게가 있나요?
韓国旅行,私は韓国人ですが学生時代に日本語を学ぶ学校が多いです,2023,저는 한국인이지만 학창시절에 일본어를 배우는 학교가 많습니다.
韓国旅行,釜山はマジで英語通じにくかった こっちの発音が悪いのかも知れないけどコーヒーの発音とかカーピみたいに言ってたし決してこっちの問題だけではないと思う,2023,부산은 정말 영어가 잘 안 통하더라... 발음이 안 맞을 수도 있지만 커피 발음이나 카피처럼 말하는 걸 보면 결코 이쪽만의 문제는 아닌 것 같다.
韓国旅行,こんな所に行くやつの気が知れない,2023,이런 곳에 가는 사람의 마음을 알 수 없다
韓国旅行,韓国行ったことないのに英語通じないって言ってる人多すぎ,2023,한국에 가본 적도 없는데 영어가 통하지 않는다고 말하는 사람이 너무 많다.
韓国旅行,あの椅子スゲーな あんなおデブが乗っても脚周りがしっかりしているな,2023,저 의자 대박이다 저렇게 뚱뚱한 사람이 앉아도 다리 주변이 탄탄하네!
韓国旅行,韓国行った時トッポギの屋台のおじちゃんに辛いか聞いて辛くないって言ってくれたから信じて食べたらとてつもなく辛かった,2023,한국 갔을 때 떡볶이 포장마차 아저씨에게 매운지 물었더니 맵지 않다고 해서 믿고 먹었더니 엄청나게 매웠어요.
韓国旅行,１回しか行ったことないけどハングルわからないと大変だった,2023,한 번밖에 가본 적이 없는데 한글을 모르면 힘들었다.
韓国旅行,韓国なんか行きません,2023,한국 따위 가지 않습니다
韓国旅行,wifi借りるよりsimカード買ったほうがいいでしょ,2023,와이파이를 빌리는 것보다 심카드를 사는 게 낫지 않겠어요?
韓国旅行,コスメや化粧品の機内持ち込みできないって液体の容量制限じゃなくて パウダー系ならいいんじゃない 誤解を招く様な,2023,화장품이나 화장품을 기내 반입할 수 없다는 것은 액체류 용량 제한이 아니라 파우더 타입이면 괜찮지 않느냐는 오해를 불러일으킬 수 있다.
韓国旅行,コスメや化粧品は機内持ち込みだめなの 100ml以下の容器やら透明のジプロックに日焼け止め化粧水いれてこうと思ったんだが,2023,화장품이나 화장품은 기내 반입이 안 된다고 해서 100ml 이하의 용기나 투명한 지플록에 자외선 차단제나 화장수를 넣으려고 했는데요.
韓国旅行,一昨日帰ってきた 日本語はそんなに不自由はしなかった ただトイレがほぼ無いから行く30分前に探して把握したほうがいい 一番近くて地下道とかだからそのへんの店にトイレ無い,2023,엊그제 돌아왔어요 일본어는 그렇게 불편하지 않았어요 다만 화장실이 거의 없으니 가기 30분 전에 찾아보고 파악하는 게 좋을 것 같아요 가장 가깝고 지하도 같은 곳이라 그 근처 가게에 화장실이 없으니까요
韓国旅行,韓国4,2023,한국4
韓国旅行,この8つの情報は貴重です 物凄く役立ちますね ありがとうございまーす,2023,이 8가지 정보는 매우 유용하고 귀중한 정보입니다. 감사합니다!
韓国旅行,tmoneyは使えないとこ多いしあんまりオススメしないかなぁ1ヶ月近く向こう行ってたけど1部のコンビニとダイソーでしか使えなかった まぁ地下鉄とかだけで使うならいいと思うけど個人的にはワオパスの方がいい気がする,2023,tmoney는 못쓰는 곳도 많고 별로 추천하지 않을 것 같은데 한 달 가까이 저쪽 갔었는데 1부 편의점과 다이소에서만 쓸 수 있었어요 뭐 지하철이나 이런 데서만 쓴다면 좋겠지만 개인적으로는 와우패스가 더 좋은 것 같아요
韓国旅行,なんで韓国行くの,2023,왜 한국 가는가?
韓国旅行,地方都市は英語は話せないよ 日本よりも話せる人が多いけどソウルとか大都市ね,2023,지방 도시는 영어를 못하는 사람이 많지만 서울이나 대도시는 일본보다 영어를 할 수 있는 사람이 많아요.
韓国旅行,すまん俺がよく行くソウルのノウォンはオバサンオジサンばかりでこちらが日本人だと分かっていても韓国語オンリーで話されるこちらも韓国語で対応するが外国人に対しての配慮に欠けてる,2023,"내가 자주 가는 서울의 노원은 아저씨 아줌마 아저씨들만 있고, 이쪽이 일본인이라는 것을 알면서도 한국어로만 대응하는 이쪽도 한국어로 대응하지만 외국인에 대한 배려가 부족하다."
